pi_time_s,FR_target_rads,FR_actual_rads,FR_pwm,FL_target_rads,FL_actual_rads,FL_pwm,RR_target_rads,RR_actual_rads,RR_pwm,RL_target_rads,RL_actual_rads,RL_pwm,FR_error,FR_ff,FR_iterm,FR_pos_rad,FL_error,FL_ff,FL_iterm,FL_pos_rad,RR_error,RR_ff,RR_iterm,RR_pos_rad,RL_error,RL_ff,RL_iterm,RL_pos_rad
1789384240.7257,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.7257,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8636,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8636,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.8636,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.9435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.9435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.9435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384240.9435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0035,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0635,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0635,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.0635,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.1435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
1789384241.1435,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0.49,-0,0,0,83.717,-0,0,0,5.218,0,0,0,92.935
