pi_time_s,FR_target_rads,FR_actual_rads,FR_pwm,FL_target_rads,FL_actual_rads,FL_pwm,RR_target_rads,RR_actual_rads,RR_pwm,RL_target_rads,RL_actual_rads,RL_pwm
1785852423.8085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852423.8121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852423.8125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852423.8129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.0105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.2084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.2090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.2098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.2105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.3983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.3990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.3997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.5577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.5583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.5591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1785852424.5599,0.1310,0.1110,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1310,0.0180,16.0000
1785852424.6083,0.2100,0.1840,17.0000,0.2100,0.0630,23.0000,0.2100,0.1080,21.0000,0.2100,0.1330,21.0000
1785852424.6584,0.3300,0.2160,27.0000,0.3300,0.2360,25.0000,0.4070,0.2260,33.0000,0.4070,0.2230,35.0000
1785852424.7084,0.5640,0.5920,27.0000,0.5640,0.5920,28.0000,0.5640,0.5590,31.0000,0.5640,0.5650,32.0000
1785852424.7584,0.6430,0.6500,33.0000,0.6430,0.6390,34.0000,0.6430,0.6290,37.0000,0.6430,0.6230,38.0000
1785852424.8085,0.6430,0.6620,33.0000,0.6430,0.6510,35.0000,0.6430,0.6520,37.0000,0.6430,0.6530,38.0000
1785852424.8584,0.6430,0.6660,33.0000,0.6430,0.6520,35.0000,0.6430,0.6560,36.0000,0.6430,0.6560,38.0000
1785852424.9084,0.6430,0.6780,32.0000,0.6430,0.6620,34.0000,0.6430,0.6550,36.0000,0.6430,0.6880,36.0000
1785852424.9584,0.6430,0.6580,33.0000,0.6430,0.6710,33.0000,0.6430,0.6680,36.0000,0.6430,0.6630,37.0000
1785852425.0084,0.6430,0.6680,32.0000,0.6430,0.6530,34.0000,0.6430,0.6500,36.0000,0.6430,0.6850,35.0000
1785852425.0585,0.6430,0.6680,32.0000,0.6430,0.6480,34.0000,0.6430,0.6530,36.0000,0.6430,0.6670,36.0000
1785852425.1084,0.6430,0.6670,32.0000,0.6430,0.6560,34.0000,0.6430,0.6410,36.0000,0.6430,0.6780,35.0000
1785852425.1584,0.6430,0.6550,32.0000,0.6430,0.6640,33.0000,0.6430,0.6620,35.0000,0.6430,0.6490,36.0000
1785852425.2084,0.6430,0.6620,31.0000,0.6430,0.6490,34.0000,0.6430,0.6510,36.0000,0.6430,0.6580,35.0000
1785852425.2584,0.6430,0.6580,31.0000,0.6430,0.6500,34.0000,0.6430,0.6540,35.0000,0.6430,0.6440,36.0000
1785852425.3084,0.6430,0.6560,31.0000,0.6430,0.6540,33.0000,0.6430,0.6400,36.0000,0.6430,0.6680,34.0000
1785852425.3584,0.6430,0.6480,32.0000,0.6430,0.6570,33.0000,0.6430,0.6630,35.0000,0.6430,0.6460,36.0000
