pi_time_s,FR_target_rads,FR_actual_rads,FR_pwm,FL_target_rads,FL_actual_rads,FL_pwm,RR_target_rads,RR_actual_rads,RR_pwm,RL_target_rads,RL_actual_rads,RL_pwm,FR_error,FR_ff,FR_iterm,FR_pos_rad,FL_error,FL_ff,FL_iterm,FL_pos_rad,RR_error,RR_ff,RR_iterm,RR_pos_rad,RL_error,RL_ff,RL_iterm,RL_pos_rad
1789384809.6181,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.6181,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.6981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.6981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.6981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.6981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.7581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.7581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.7581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8182,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8182,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8182,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.8981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.9582,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.9582,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384809.9582,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0182,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0183,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0183,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0981,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0982,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0982,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.0982,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.1581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.1581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
1789384810.1581,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,33.182,-0,0,0,116.227,0,0,0,36.864,0,0,0,124.992
