pi_time_s,FR_target_rads,FR_actual_rads,FR_pwm,FL_target_rads,FL_actual_rads,FL_pwm,RR_target_rads,RR_actual_rads,RR_pwm,RL_target_rads,RL_actual_rads,RL_pwm
1786022378.2228,0.6560,0.6760,33.0000,0.6560,0.6830,36.0000,0.6560,0.6760,34.0000,0.6560,0.6780,31.0000
1786022378.2727,0.6560,0.6780,32.0000,0.6560,0.6960,34.0000,0.6560,0.6560,35.0000,0.6560,0.6730,31.0000
1786022378.3228,0.6560,0.6840,32.0000,0.6560,0.6940,34.0000,0.6560,0.6720,34.0000,0.6560,0.6840,30.0000
1786022378.3727,0.6560,0.6790,32.0000,0.6560,0.6940,34.0000,0.6560,0.6560,35.0000,0.6560,0.6740,30.0000
1786022378.4236,0.6560,0.6760,32.0000,0.6560,0.6920,33.0000,0.6560,0.6800,33.0000,0.6560,0.6930,29.0000
1786022378.4728,0.6560,0.6720,32.0000,0.6560,0.6710,34.0000,0.6560,0.6540,34.0000,0.6560,0.6630,30.0000
1786022378.5228,0.6560,0.6600,32.0000,0.6560,0.6760,34.0000,0.6560,0.6490,35.0000,0.6560,0.6520,30.0000
1786022378.5728,0.6560,0.6380,33.0000,0.6560,0.6400,35.0000,0.6560,0.6400,35.0000,0.6560,0.6370,31.0000
1786022378.6227,0.6560,0.6000,36.0000,0.6560,0.5860,39.0000,0.6560,0.6430,35.0000,0.6560,0.6390,31.0000
1786022378.6728,0.6560,0.5620,38.0000,0.6560,0.5900,39.0000,0.6560,0.6360,36.0000,0.6560,0.6290,32.0000
1786022378.7228,0.6560,0.6390,35.0000,0.6560,0.6410,37.0000,0.6560,0.6400,36.0000,0.6560,0.6410,32.0000
1786022378.7727,0.6560,0.6720,33.0000,0.6560,0.6760,35.0000,0.6560,0.6530,35.0000,0.6560,0.6590,31.0000
1786022378.8228,0.6560,0.6760,33.0000,0.6560,0.6900,34.0000,0.6560,0.6660,34.0000,0.6560,0.6570,31.0000
1786022378.8735,0.6560,0.6780,33.0000,0.6560,0.6830,34.0000,0.6560,0.6630,34.0000,0.6560,0.6640,31.0000
1786022378.9228,0.6560,0.6830,32.0000,0.6560,0.6850,34.0000,0.6560,0.6470,35.0000,0.6560,0.6530,31.0000
1786022378.9729,0.6560,0.6750,33.0000,0.6560,0.6880,34.0000,0.6560,0.6660,34.0000,0.6560,0.6820,30.0000
1786022379.0228,0.6560,0.6900,31.0000,0.6560,0.6840,33.0000,0.6560,0.6830,33.0000,0.6560,0.6800,30.0000
1786022379.0728,0.6560,0.6850,31.0000,0.6560,0.6790,33.0000,0.6560,0.6660,34.0000,0.6560,0.6900,29.0000
