epoch_s,map_x,map_y,map_yaw_deg,odom_x,odom_y,odom_yaw_deg,corr_x,corr_y,corr_yaw_deg
1788171797.020,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.120,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.220,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.320,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.420,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.520,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.620,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.720,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.820,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171797.920,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.023,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.120,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.220,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.320,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.420,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.520,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.620,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.720,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.820,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171798.920,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.020,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.120,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.220,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.320,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.420,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.520,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.620,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.720,-0.1102,0.0227,-1.35,0.0000,0.0000,0.00,-0.1245,-0.0168,-0.26
1788171799.820,-0.0037,-0.0005,-0.01,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171799.920,-0.0009,-0.0001,-0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.019,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.119,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.219,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.320,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.419,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.519,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.619,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.719,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.819,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171800.919,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.019,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.119,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.219,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.319,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.419,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.519,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.619,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.719,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.819,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171801.919,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788171802.019,-0.0000,0.0005,-0.01,-0.0000,0.0005,-0.01,0.0000,0.0000,0.00
1788171802.119,-0.0003,0.0052,-0.03,-0.0003,0.0052,-0.03,0.0000,0.0000,0.00
1788171802.220,-0.0003,0.0103,-0.03,-0.0003,0.0103,-0.03,0.0000,0.0000,0.00
1788171802.319,-0.0003,0.0156,-0.02,-0.0003,0.0156,-0.02,0.0000,0.0000,0.00
1788171802.419,-0.0003,0.0208,-0.02,-0.0003,0.0208,-0.02,0.0000,0.0000,0.00
1788171802.520,-0.0003,0.0260,-0.01,-0.0003,0.0260,-0.01,0.0000,0.0000,0.00
1788171802.620,-0.0003,0.0311,-0.00,-0.0003,0.0311,-0.00,0.0000,0.0000,0.00
1788171802.720,-0.0003,0.0362,0.00,-0.0003,0.0362,0.00,0.0000,0.0000,0.00
1788171802.820,-0.0003,0.0413,0.00,-0.0003,0.0413,0.00,0.0000,0.0000,0.00
1788171802.920,-0.0003,0.0462,-0.00,-0.0003,0.0462,-0.00,0.0000,0.0000,0.00
1788171803.020,-0.0003,0.0513,-0.00,-0.0003,0.0513,-0.00,0.0000,0.0000,0.00
1788171803.120,-0.0003,0.0563,0.00,-0.0003,0.0563,0.00,0.0000,0.0000,0.00
1788171803.220,-0.0003,0.0613,-0.00,-0.0003,0.0613,-0.00,0.0000,0.0000,0.00
1788171803.320,-0.0003,0.0664,0.00,-0.0003,0.0664,0.00,0.0000,0.0000,0.00
1788171803.420,-0.0003,0.0713,-0.00,-0.0003,0.0713,-0.00,0.0000,0.0000,0.00
1788171803.520,-0.0003,0.0762,-0.01,-0.0003,0.0762,-0.01,0.0000,0.0000,0.00
1788171803.620,-0.0003,0.0812,-0.01,-0.0003,0.0812,-0.01,0.0000,0.0000,0.00
1788171803.720,-0.0004,0.0896,-0.02,-0.0004,0.0896,-0.02,0.0000,0.0000,0.00
1788171803.819,-0.0004,0.0998,-0.02,-0.0004,0.0998,-0.02,0.0000,0.0000,0.00
1788171803.919,-0.0003,0.1102,-0.01,-0.0003,0.1102,-0.01,0.0000,0.0000,0.00
1788171804.019,-0.0002,0.1206,0.01,-0.0002,0.1206,0.01,0.0000,0.0000,0.00
1788171804.120,-0.0002,0.1308,0.02,-0.0002,0.1308,0.02,0.0000,0.0000,0.00
1788171804.219,-0.0002,0.1409,0.01,-0.0002,0.1409,0.01,0.0000,0.0000,0.00
1788171804.319,-0.0002,0.1512,0.02,-0.0002,0.1512,0.02,0.0000,0.0000,0.00
1788171804.420,-0.0001,0.1613,0.03,-0.0001,0.1613,0.03,0.0000,0.0000,0.00
1788171804.520,-0.0002,0.1714,0.03,-0.0002,0.1714,0.03,0.0000,0.0000,0.00
1788171804.620,-0.0002,0.1814,0.04,-0.0002,0.1814,0.04,0.0000,0.0000,0.00
1788171804.719,-0.0002,0.1914,0.03,-0.0002,0.1914,0.03,0.0000,0.0000,0.00
1788171804.819,-0.0002,0.2016,0.03,-0.0002,0.2016,0.03,0.0000,0.0000,0.00
1788171804.919,-0.0002,0.2117,0.04,-0.0002,0.2117,0.04,0.0000,0.0000,0.00
1788171805.020,-0.0002,0.2219,0.04,-0.0002,0.2219,0.04,0.0000,0.0000,0.00
1788171805.119,-0.0002,0.2320,0.04,-0.0002,0.2320,0.04,0.0000,0.0000,0.00
1788171805.220,-0.0002,0.2421,0.04,-0.0002,0.2421,0.04,0.0000,0.0000,0.00
1788171805.319,-0.0002,0.2521,0.05,-0.0002,0.2521,0.05,0.0000,0.0000,0.00
1788171805.420,-0.0002,0.2622,0.05,-0.0002,0.2622,0.05,0.0000,0.0000,0.00
1788171805.519,-0.0002,0.2724,0.04,-0.0002,0.2724,0.04,0.0000,0.0000,0.00
1788171805.619,0.0001,0.2826,0.36,0.0001,0.2826,0.36,0.0000,0.0000,0.00
1788171805.720,0.0001,0.2927,1.47,0.0001,0.2927,1.47,0.0000,0.0000,0.00
1788171805.820,-0.0005,0.3032,2.64,-0.0005,0.3032,2.64,0.0000,0.0000,0.00
1788171805.919,-0.0010,0.3134,3.81,-0.0010,0.3134,3.81,0.0000,0.0000,0.00
1788171806.019,-0.0017,0.3237,4.97,-0.0017,0.3237,4.97,0.0000,0.0000,0.00
1788171806.119,-0.0027,0.3338,6.13,-0.0027,0.3338,6.13,0.0000,0.0000,0.00
1788171806.219,-0.0040,0.3439,7.29,-0.0040,0.3439,7.29,0.0000,0.0000,0.00
1788171806.320,-0.0052,0.3540,8.45,-0.0052,0.3540,8.45,0.0000,0.0000,0.00
1788171806.420,-0.0069,0.3640,9.61,-0.0069,0.3640,9.61,0.0000,0.0000,0.00
1788171806.520,-0.0086,0.3739,10.77,-0.0086,0.3739,10.77,0.0000,0.0000,0.00
1788171806.620,-0.0278,0.3838,11.92,-0.0107,0.3838,11.93,-0.0303,-0.0000,-0.03
1788171806.719,-0.0432,0.3937,12.86,-0.0131,0.3937,12.88,-0.0303,-0.0000,-0.03
1788171806.819,-0.0456,0.4035,12.98,-0.0155,0.4035,13.00,-0.0303,-0.0000,-0.03
1788171806.919,-0.0480,0.4132,12.96,-0.0179,0.4132,12.99,-0.0303,-0.0000,-0.03
1788171807.020,-0.0503,0.4230,12.94,-0.0202,0.4230,12.97,-0.0303,-0.0000,-0.03
1788171807.120,-0.0524,0.4332,13.02,-0.0223,0.4332,13.05,-0.0303,-0.0000,-0.03
1788171807.219,-0.0547,0.4431,13.89,-0.0246,0.4432,13.92,-0.0303,-0.0000,-0.03
1788171807.319,-0.0575,0.4529,15.04,-0.0274,0.4529,15.07,-0.0303,-0.0000,-0.03
1788171807.419,-0.0603,0.4625,16.19,-0.0302,0.4625,16.22,-0.0303,-0.0000,-0.03
1788171807.519,-0.0633,0.4720,17.35,-0.0332,0.4720,17.38,-0.0303,-0.0000,-0.03
1788171807.619,-0.0665,0.4816,18.52,-0.0364,0.4816,18.55,-0.0303,-0.0000,-0.03
1788171807.719,-0.0698,0.4912,19.70,-0.0397,0.4912,19.73,-0.0303,-0.0000,-0.03
1788171807.820,-0.0733,0.5006,20.86,-0.0432,0.5006,20.89,-0.0303,-0.0000,-0.03
1788171807.919,-0.0771,0.5101,22.03,-0.0470,0.5101,22.06,-0.0303,-0.0000,-0.03
1788171808.019,-0.0810,0.5194,23.19,-0.0509,0.5194,23.22,-0.0303,-0.0000,-0.03
1788171808.119,-0.0853,0.5286,24.14,-0.0552,0.5286,24.17,-0.0303,-0.0000,-0.03
1788171808.219,-0.0896,0.5378,24.26,-0.0595,0.5378,24.29,-0.0303,-0.0000,-0.03
1788171808.319,-0.0937,0.5470,24.23,-0.0637,0.5470,24.26,-0.0303,-0.0000,-0.03
1788171808.420,-0.0746,0.5265,24.81,-0.0678,0.5564,24.23,0.0822,-0.1122,2.34
1788171808.519,-0.0128,0.4500,26.55,-0.0719,0.5656,24.21,0.0822,-0.1122,2.34
1788171808.619,-0.0173,0.4589,26.53,-0.0761,0.5747,24.19,0.0822,-0.1122,2.34
1788171808.720,-0.0218,0.4680,26.51,-0.0802,0.5839,24.17,0.0822,-0.1122,2.34
1788171808.819,-0.0263,0.4771,26.50,-0.0843,0.5933,24.16,0.0822,-0.1122,2.34
1788171808.919,-0.0308,0.4862,26.50,-0.0885,0.6026,24.16,0.0822,-0.1122,2.34
1788171809.019,-0.0353,0.4952,26.48,-0.0926,0.6117,24.14,0.0822,-0.1122,2.34
1788171809.120,-0.0398,0.5042,26.49,-0.0967,0.6209,24.14,0.0822,-0.1122,2.34
