epoch_s,map_x,map_y,map_yaw_deg,odom_x,odom_y,odom_yaw_deg,corr_x,corr_y,corr_yaw_deg
1788242015.769,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242015.869,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242015.969,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.069,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.169,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.269,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.370,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.471,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.570,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.669,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.774,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.870,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242016.969,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.074,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.169,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.269,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.369,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.469,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.569,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.669,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.769,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.869,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242017.969,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.069,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.169,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.269,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.369,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.469,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.569,,,,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.669,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.769,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.869,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242018.969,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.069,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.169,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.269,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.369,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.469,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.569,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.669,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.769,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.869,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242019.969,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.069,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.175,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.269,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.369,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.469,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.569,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.669,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.769,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.869,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242020.969,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1788242021.069,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
